                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4919,                 1.7503,                 1.5666,                0.65372,                0.64634,                 0.6358,                0.39574,                 1.2211,                 1.5251,                 1.3126,             0.00064815,             0.00064815,             0.00064815
                      2,                  1.116,                 1.0615,                 1.3185,                0.82433,                   0.75,                0.83514,                0.54909,                 1.2353,                 1.2749,                 1.2795,              0.0013018,              0.0013018,              0.0013018
                      3,                 1.0369,                0.95684,                 1.2511,                0.64852,                0.77439,                0.73445,                0.52513,                 1.0652,                 1.1308,                 1.1202,              0.0019422,              0.0019422,              0.0019422
                      4,                0.96273,                 0.8782,                 1.2133,                0.80028,                0.90401,                0.88066,                0.57026,                 1.2046,                0.95562,                 1.2302,              0.0019406,              0.0019406,              0.0019406
                      5,                  0.991,                0.83929,                 1.2167,                0.85038,                0.83537,                0.87716,                0.68584,                0.84017,                0.89638,                 1.0301,              0.0019208,              0.0019208,              0.0019208
                      6,                0.86854,                 0.7617,                 1.1596,                0.89316,                0.81562,                0.91281,                0.72748,                0.75827,                0.74709,                 1.0319,               0.001901,               0.001901,               0.001901
                      7,                 0.8312,                0.72888,                 1.1365,                0.87975,                0.75835,                0.90154,                 0.7163,                0.81326,                0.84157,                 1.0528,              0.0018812,              0.0018812,              0.0018812
                      8,                0.78747,                0.69355,                 1.1192,                 0.8104,                0.86007,                0.91512,                0.71625,                0.79152,                0.79026,                 1.0661,              0.0018614,              0.0018614,              0.0018614
                      9,                0.75514,                0.65704,                 1.0909,                0.83558,                0.92966,                0.91562,                0.75639,                0.67039,                0.64808,                0.95362,              0.0018416,              0.0018416,              0.0018416
                     10,                0.74938,                0.65513,                 1.0978,                0.82721,                0.93414,                0.92548,                0.74909,                0.75048,                0.62783,                 1.0189,              0.0018218,              0.0018218,              0.0018218
                     11,                0.73048,                0.62708,                 1.0782,                0.84594,                0.87195,                0.93367,                0.77731,                  0.666,                0.62145,                0.98701,               0.001802,               0.001802,               0.001802
                     12,                0.72536,                0.60083,                  1.076,                0.87189,                0.90244,                0.92777,                0.77939,                0.64006,                0.59798,                0.98574,              0.0017822,              0.0017822,              0.0017822
                     13,                0.71341,                0.58658,                 1.0621,                0.84792,                0.91796,                0.94601,                0.78235,                0.66348,                0.58134,                0.96979,              0.0017624,              0.0017624,              0.0017624
                     14,                0.68066,                0.56926,                 1.0539,                0.88695,                0.90893,                0.95548,                0.80201,                0.66491,                0.54545,                0.97842,              0.0017426,              0.0017426,              0.0017426
